Code,Nom français,Nom latin
RUA,Ronce des alléghanys,Rubus allegheniensis Porter
RUB,Ronce sétuleuse,Rubus setosus Bigelow
RUC,Chicouté,Rubus chamaemorus Linnaeus
RUD,Ronce odorante,Rubus odoratus Linnaeus
RUH,Ronce hispide,Rubus hispidus Linnaeus
RUI,Framboisier rouge,Rubus idaeus Linnaeus
RUN,Ronce du canada,Rubus canadensis Linnaeus
RUO,Framboisier noir,Rubus occidentalis Linnaeus
RUP,Ronce pubescente,Rubus pubescens Rafinesque
RUT,Rudbeckie hérissée,Rudbeckia hirta Linnaeus
RUX,Patience,Rumex Linnaeus
RYT,Hypne triquètre,Rhytidiadelphus triquetrus (Hedw.) Warnst.
SAB,Sapin baumier,Abies balsamea (Linnaeus) Miller
SAC,Sureau blanc,Sambucus canadensis Linnaeus
SAE,Sanicle odorante,Sanicula odorata (Rafinesque) Pryer & Phillippe
SAG,Sanguinaire du canada,Sanguinaria canadensis Linnaeus
SAL,Saule,Salix Linnaeus
SAM,Sanicle du maryland,Sanicula marilandica Linnaeus
